DBMS,Rank_Apr-2023,Rank_Mar-2023,Rank_Apr-2022,Database Model,Score_Apr-2023,Score_Mar-2023,Score_Apr-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Neo4j,21.0,20.0,19.0,Graph,51.6,-1.91,-7.92,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,,Open Source,"GPL version3, commercial licenses available",no
SAP HANA,22.0,23.0,21.0,"Relational, Multi-model",51.08,+0.24,-4.71,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,,commercial,,no
FileMaker,23.0,22.0,22.0,Relational,50.0,-1.14,-2.91,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,,commercial,,no
Solr,24.0,24.0,20.0,"Search engine, Multi-model",48.22,+0.94,-9.52,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,,Open Source,Apache Version 2,no
SAP Adaptive Server,25.0,25.0,23.0,"Relational, Multi-model",42.87,-0.08,-5.49,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,,commercial,,no
HBase,26.0,26.0,25.0,Wide column,37.79,+0.17,-6.54,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,,Open Source,Apache version 2,no
Microsoft Azure Cosmos DB,27.0,27.0,26.0,Multi-model,35.08,-1.03,-5.26,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
PostGIS,28.0,28.0,27.0,"Spatial DBMS, Multi-model",29.41,-0.81,-2.64,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,,Open Source,GPL v2.0,no
InfluxDB,29.0,29.0,28.0,"Time Series, Multi-model",28.59,-0.56,-1.43,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,,Open Source,MIT-License; commercial enterprise version available,no
Couchbase,30.0,31.0,29.0,"Document, Multi-model",23.75,+0.39,-5.30,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS","Couchbase, Inc.","A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",2011.0,,Open Source,Apache version 2; Commercial licenses also available,no
Firebird,31.0,30.0,30.0,Relational,23.33,-0.11,-3.31,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,,Open Source,Initial Developer's Public License,no
Memcached,32.0,32.0,32.0,Key-value,21.99,-0.62,-3.19,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,,Open Source,BSD license,no
Informix,33.0,34.0,33.0,"Relational, Multi-model",21.49,-0.26,-2.01,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,,commercial,free developer edition available,no
Microsoft Azure Synapse Analytics,34.0,33.0,35.0,Relational,21.08,-0.86,+0.99,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Spark SQL,35.0,36.0,34.0,Relational,19.62,-0.53,-3.46,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,,Open Source,Apache 2.0,no
Amazon Redshift,36.0,35.0,31.0,Relational,19.45,-1.00,-6.72,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Firebase Realtime Database,37.0,38.0,38.0,Document,18.22,-0.57,-1.04,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Impala,38.0,37.0,39.0,"Relational, Multi-model",17.59,-1.37,-0.88,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store",Cloudera,Analytic DBMS for Hadoop,2013.0,,Open Source,Apache Version 2,no
Vertica,39.0,39.0,37.0,"Relational, Multi-model",15.98,-1.00,-3.88,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,,commercial,Limited community edition free,no
Netezza,40.0,40.0,36.0,Relational,14.94,-1.37,-5.08,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
dBASE,41.0,41.0,41.0,Relational,14.7,-0.32,-0.01,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,,commercial,,no
CouchDB,42.0,42.0,40.0,"Document, Multi-model",14.62,+0.16,-2.63,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,,Open Source,Apache version 2,no
Presto,43.0,44.0,42.0,Relational,14.12,+0.23,+0.08,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
ClickHouse,44.0,43.0,45.0,"Relational, Multi-model",13.87,-0.37,+1.38,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"Column-oriented,Relational DBMS,powering Yandex",2016.0,,Open Source,Apache 2.0,no
Apache Flink,45.0,,,Relational,13.67,,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,,Open Source,,no
Google Cloud Firestore,46.0,45.0,53.0,Document,11.09,-0.27,+2.06,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
OpenSearch,47.0,46.0,77.0,Search engine,11.09,-0.03,+5.85,https://db-engines.com/en/system/OpenSearch,,Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,,Open Source,Apache Version 2.0,no
Greenplum,48.0,47.0,43.0,"Relational, Multi-model",10.26,-0.60,-3.55,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,,Open Source,Apache 2.0,no
Amazon Aurora,49.0,48.0,44.0,"Relational, Multi-model",9.44,-0.64,-3.16,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
Oracle Essbase,50.0,50.0,52.0,Relational,8.86,+0.06,-0.25,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,,commercial,,no
etcd,51.0,53.0,46.0,Key-value,8.63,+0.03,-2.93,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,,Open Source,Apache Version 2.0,no
Kdb,52.0,55.0,54.0,"Time Series, Multi-model",8.47,+0.43,-0.31,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,,commercial,free 32-bit version,no
H2,53.0,51.0,49.0,"Relational, Multi-model",8.4,-0.32,-1.54,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,,Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
MarkLogic,54.0,49.0,48.0,Multi-model,8.34,-0.53,-1.73,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,,commercial,restricted free version is available,no
Realm,55.0,54.0,51.0,Document,8.28,-0.25,-1.56,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Hazelcast,56.0,52.0,47.0,"Key-value, Multi-model",7.76,-0.87,-2.48,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,,Open Source,Apache Version 2; commercial licenses available,no
Algolia,57.0,58.0,55.0,Search engine,7.41,+0.27,-0.96,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Prometheus,58.0,57.0,67.0,Time Series,6.99,-0.34,+0.68,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Sphinx,59.0,61.0,60.0,Search engine,6.8,+0.12,-0.45,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,,Open Source,"GPL version 2, commercial licence available",no
Datastax Enterprise,60.0,56.0,50.0,"Wide column, Multi-model",6.79,-0.55,-3.09,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,,commercial,,no
Microsoft Azure Search,61.0,60.0,56.0,Search engine,6.7,-0.20,-1.45,https://db-engines.com/en/system/Microsoft+Azure+Search,,Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
SingleStore,62.0,64.0,59.0,"Relational, Multi-model",6.6,+0.06,-0.72,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"7.6, November 2021",commercial,free developer edition available,no
Derby,63.0,71.0,76.0,Relational,6.59,+0.52,+1.28,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.16.1.1, May 2022",Open Source,Apache version 2,no
CockroachDB,64.0,59.0,57.0,Relational,6.53,-0.56,-1.28,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"21.1.2, June 2021",Open Source,"Apache 2.0, commercial license available",no
Interbase,65.0,69.0,64.0,Relational,6.41,+0.14,-0.16,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Aerospike,66.0,65.0,68.0,Multi-model,6.4,-0.14,+0.14,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"6.0.0.0, April 2022",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Jackrabbit,67.0,70.0,65.0,Content,6.39,+0.18,-0.02,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
Graphite,68.0,63.0,75.0,Time Series,6.3,-0.28,+0.94,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
Ingres,69.0,67.0,66.0,Relational,6.27,-0.17,-0.12,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.0, April 2017",commercial,,no
Virtuoso,70.0,68.0,70.0,Multi-model,6.24,-0.16,+0.57,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.7, May 2022",Open Source,"GPLv2, extended commercial license available",no
Ehcache,71.0,72.0,63.0,Key-value,6.14,+0.12,-0.59,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Microsoft Azure Data Explorer,72.0,66.0,58.0,"Relational, Multi-model",5.92,-0.59,-1.73,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Google Cloud Datastore,73.0,62.0,72.0,Document,5.89,-0.72,+0.40,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
ScyllaDB,74.0,74.0,89.0,"Wide column, Multi-model",5.85,+0.09,+1.99,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.0, July 2022",Open Source,"Open Source (AGPL), commercial license available",no
Microsoft Azure Table Storage,75.0,75.0,73.0,Wide column,5.68,-0.06,+0.20,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
SAP SQL Anywhere,76.0,73.0,69.0,Relational,5.39,-0.40,-0.41,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Trino,77.0,81.0,104.0,"Relational, Multi-model",5.39,+0.19,+2.38,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Ignite,78.0,78.0,61.0,Multi-model,5.32,+0.03,-1.79,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no
Riak KV,79.0,79.0,62.0,Key-value,5.19,-0.09,-1.69,https://db-engines.com/en/system/Riak+KV,,Basho Technologies,"Distributed, fault tolerant key-value store",2009.0,"2.1.0, April 2015",Open Source,"Apache version 2, commercial enterprise edition",no
Accumulo,80.0,77.0,88.0,Wide column,5.18,-0.21,+1.31,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.0.1 (December 24, 2020), 2020",Open Source,,no
HyperSQL,81.0,82.0,74.0,Relational,5.15,-0.04,-0.23,https://db-engines.com/en/system/HyperSQL,,,,2001.0,"2.7.1, October 2022",Open Source,based on BSD license,no
Adabas,82.0,83.0,81.0,Multivalue,5.1,-0.05,+0.23,https://db-engines.com/en/system/Adabas,,,,1971.0,,commercial,,no
Apache Jena - TDB,83.0,80.0,100.0,RDF,5.07,-0.19,+1.96,https://db-engines.com/en/system/Apache+Jena+-+TDB,,,,2000.0,"4.6.1, September 2022",Open Source,"Apache License, Version 2.0",no
Google Cloud Bigtable,84.0,76.0,85.0,Multi-model,4.91,-0.53,+0.63,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",,,2015.0,,commercial,,yes
ArangoDB,85.0,84.0,71.0,Multi-model,4.8,-0.24,-0.85,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",,,2012.0,"3.9.3, September 2022",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
"UniData,UniVerse",86.0,85.0,84.0,Multivalue,4.54,-0.11,+0.01,https://db-engines.com/en/system/UniData%2CUniVerse,,,,1985.0,,commercial,,no
TimescaleDB,87.0,88.0,83.0,"Time Series, Multi-model",4.37,-0.15,-0.19,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",,,2017.0,"2.6.0, February 2022",Open Source,Apache 2.0,no
OpenEdge,88.0,86.0,82.0,Relational,4.33,-0.27,-0.24,https://db-engines.com/en/system/OpenEdge,,,,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
RocksDB,89.0,87.0,87.0,Key-value,4.3,-0.28,+0.41,https://db-engines.com/en/system/RocksDB,,,,2013.0,"7.10.2, March 2023",Open Source,BSD,no
SAP IQ,90.0,90.0,80.0,Relational,4.13,-0.16,-0.76,https://db-engines.com/en/system/SAP+IQ,,,,1994.0,"16.1 SPS04, April 2019",commercial,,no
IBM Cloudant,91.0,93.0,93.0,Document,4.09,-0.06,+0.55,https://db-engines.com/en/system/IBM+Cloudant,,,,2010.0,,commercial,,yes
OrientDB,92.0,89.0,78.0,Multi-model,4.06,-0.23,-1.01,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",,,2010.0,"3.1.9, February 2021",Open Source,Apache version 2,no
Google Cloud Spanner,93.0,92.0,91.0,Relational,4.01,-0.23,+0.27,https://db-engines.com/en/system/Google+Cloud+Spanner,,,,2017.0,,commercial,,yes
RavenDB,94.0,94.0,92.0,"Document, Multi-model",3.97,-0.07,+0.32,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",,,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
GemFire,95.0,91.0,,"Key-value, Multi-model",3.96,-0.30,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",,,2004.0,"9.15, June 2022",commercial,,no
Oracle NoSQL,96.0,97.0,79.0,Multi-model,3.79,+0.08,-1.17,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",,,2011.0,"22.3, December 2022",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
RethinkDB,97.0,95.0,101.0,"Document, Multi-model",3.76,-0.10,+0.66,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",,,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
YugabyteDB,98.0,96.0,111.0,"Relational, Multi-model",3.54,-0.29,+0.84,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",,,2017.0,"2.17, December 2022",Open Source,Apache 2.0,no
Infinispan,99.0,99.0,96.0,Key-value,3.45,-0.06,+0.06,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
MaxDB,100.0,102.0,86.0,Relational,3.42,+0.05,-0.77,https://db-engines.com/en/system/MaxDB,,,,1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no
LevelDB,101.0,98.0,97.0,Key-value,3.38,-0.16,+0.19,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
Oracle Berkeley DB,102.0,101.0,109.0,Multi-model,3.29,-0.08,+0.50,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
PouchDB,103.0,100.0,103.0,Document,3.27,-0.22,+0.20,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
InterSystems IRIS,104.0,105.0,121.0,Multi-model,3.2,+0.14,+1.03,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2021.1, June 2021",commercial,,no
InterSystems Caché,105.0,112.0,102.0,Multi-model,3.19,+0.23,+0.12,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",InterSystems,A multi-model DBMS and application server,1997.0,"2018.1.4, May 2020",commercial,,no
