Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
SQLite,"Widely used embeddable, in-process,RDBMS",Relational DBMS,,"Score,112.59,Rank,#11,Overall,#8,Relational DBMS",www.sqlite.org,www.sqlite.org/docs.html,Dwayne Richard Hipp,2000.0,"3.46.1  (13 August 2024), August 2024",Open Source,Public Domain,no,,C,server-less,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","Actionscript,Ada,Basic,C,C#,C++,D,Delphi,Forth,Fortran,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Objective-C,OCaml,Perl,PHP,PL/SQL,Python,R,Ruby,Scala,Scheme,Smalltalk,Tcl",no,yes,none,none,no,,yes,ACID,yes,yes,yes,no
Apache Cassandra,Wide-column store based on ideas of BigTable and DynamoDB,Wide column store,Vector DBMS,"Score,108.51,Rank,#12,Overall,#1,Wide column stores",cassandra.apache.org,cassandra.apache.org/doc/latest,Apache Software Foundation,2008.0,"5.0-rc1, July 2024",Open Source,Apache version 2,no,,Java,"BSD,Linux,OS X,Windows",schema-free,yes,no,restricted,"SQL-like SELECT, DML and DDL statements (CQL)","Proprietary protocol,Thrift","C#,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",no,yes,Sharding,selectable replication factor,yes,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,Access rights for users can be defined per object
MariaDB,"An open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities, with built in compatibility with MySQL and Oracle Database. MariaDB ColumnStore provides a column-oriented storage engine for analytical workloads. MariaDB Server also supports vector embedded search for AI-driven applications.",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,93.59,Rank,#13,Overall,#9,Relational DBMS","mariadb.com,mariadb.org",mariadb.com/kb/en/library,MariaDB plc (MariaDB Enterprise Platform and MariaDB),2009.0,"11.5.2, August 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no,,C and C++,"FreeBSD,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Eiffel,Erlang,Go,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,several options for horizontal partitioning and Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Microsoft Access,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,Relational DBMS,,"Score,87.76,Rank,#14,Overall,#10,Relational DBMS",www.microsoft.com/en-us/microsoft-365/access,developer.microsoft.com/en-us/access,Microsoft,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,,C++,Windows,yes,yes,,yes,yes,"ADO.NET,DAO,ODBC,OLE DB","C,C#,C++,Delphi,Java (JDBC-ODBC),VBA,Visual Basic.NET",yes,yes,none,none,no,,yes,ACID,yes,yes,,no
Amazon DynamoDB,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud","Document store,Key-value store",,"Score,83.48,Rank,#15,Overall,#3,Document stores,#2,Key-value stores",aws.amazon.com/dynamodb,docs.aws.amazon.com/dynamodb,Amazon,2012.0,,commercial,free tier for a limited amount of database operations,yes,,,hosted,schema-free,yes,,yes,no,RESTful HTTP API,".Net,ColdFusion,Erlang,Groovy,Java,JavaScript,Perl,PHP,Python,Ruby",no,yes,Sharding,yes,no,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Microsoft Azure SQL Database,"Database as a Service offering with high compatibility to,Microsoft SQL Server",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,75.84,Rank,#16,Overall,#11,Relational DBMS",azure.microsoft.com/en-us/products/azure-sql/database,docs.microsoft.com/en-us/azure/azure-sql,Microsoft,2010.0,V12,commercial,,yes,,C++,hosted,yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC",".Net,C#,Java,JavaScript (Node.js),PHP,Python,Ruby",Transact SQL,yes,,"yes, with always 3 replicas available",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Apache Hive,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",Relational DBMS,,"Score,71.03,Rank,#17,Overall,#12,Relational DBMS",hive.apache.org,cwiki.apache.org/confluence/display/Hive/Home,Apache Software Foundation,2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,,Java,All OS with a Java VM,yes,yes,,yes,SQL-like DML and DDL statements,"JDBC,ODBC,Thrift","C++,Java,PHP,Python",yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,"Access rights for users, groups and roles"
Splunk,Analytics Platform for Big Data,Search engine,,"Score,69.77,Rank,#18,Overall,#2,Search engines",www.splunk.com,docs.splunk.com/Documentation/Splunk,Splunk Inc.,2003.0,,commercial,Limited free edition and free developer edition available,no,,,"Linux,OS X,Solaris,Windows",yes,yes,yes,yes,no,HTTP REST,"C#,Java,JavaScript,PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users and roles
Google BigQuery,Large scale data warehouse service with append-only tables,Relational DBMS,,"Score,65.18,Rank,#19,Overall,#13,Relational DBMS",cloud.google.com/bigquery,cloud.google.com/bigquery/docs,Google,2010.0,,commercial,,yes,,,hosted,yes,yes,no,no,yes,RESTful HTTP/JSON API,".Net,Java,JavaScript,Objective-C,PHP,Python,Ruby",user defined functions,no,none,,no,Immediate Consistency,no,no,yes,yes,no,"Access privileges (owner, writer, reader) on dataset, table or view level"
Neo4j,"Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",Graph DBMS,,"Score,54.47,Rank,#20,Overall,#1,Graph DBMS",neo4j.com,neo4j.com/docs,"Neo4j, Inc.",2007.0,"5.23, August 2024",Open Source,"GPL version3, commercial licenses available",no,,"Java, Scala","Linux,OS X,Solaris,Windows",schema-free and schema-optional,yes,,yes,no,"Bolt protocol,Cypher query language,Java API,Neo4j-OGM,RESTful HTTP API,Spring Data Neo4j,TinkerPop 3",".Net,Clojure,Elixir,Go,Groovy,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",yes,yes,yes using Neo4j Fabric,Causal Clustering using Raft protocol,no,"Causal and Eventual Consistency configurable in Causal Cluster setup,Immediate Consistency in stand-alone mode",yes,ACID,yes,yes,,"Users, roles and permissions. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
Apache Solr,"A widely used distributed, scalable,search engine,based on,Apache Lucene",Search engine,Spatial DBMS,"Score,34.80,Rank,#21,Overall,#3,Search engines",solr.apache.org,solr.apache.org/resources.html,Apache Software Foundation,2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no,,Java,All OS with a Java VM,yes,yes,yes,yes,Solr Parallel SQL Interface,"Java API,RESTful HTTP/JSON API",".Net,Erlang,Java,JavaScript,any language that supports sockets and either XML or JSON,Perl,PHP,Python,Ruby,Scala",Java plugins,yes,Sharding,yes,"spark-solr:,github.com/lucidworks/spark-solr,and streaming expressions to reduce",Eventual Consistency,no,optimistic locking,yes,yes,yes,yes
Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),Relational DBMS,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS","Score,33.75,Rank,#22,Overall,#14,Relational DBMS",www.teradata.com,docs.teradata.com,Teradata,1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,,,"hosted,Linux",yes,yes,yes,yes,yes,".NET Client API,HTTP REST,JDBC,JMS Adapter,ODBC,OLE DB","C,C++,Cobol,Java (JDBC-ODBC),Perl,PL/1,Python,R,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",Relational DBMS,,"Score,33.32,Rank,#23,Overall,#15,Relational DBMS",www.claris.com/filemaker,www.claris.com/resources/documentation,Claris,1983.0,"19.4.1, November 2021",commercial,,no,,,"iOS,Linux,OS X,Windows",yes,yes,yes,yes,yes,"Filemaker WebDirect,JDBC,ODBC",PHP,yes,yes,none,"Source-replica replication, warm standby",no,,yes,no,yes,yes,,simple rights management via user accounts and connection to external directory services
SAP HANA,"In-memory, column based data store. Available as appliance or cloud service",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,32.30,Rank,#24,Overall,#16,Relational DBMS",www.sap.com/products/hana.html,help.sap.com/hana,SAP,2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no,,,Appliance or cloud-service,yes,yes,no,yes,yes,"JDBC,ODBC",,"SQLScript, R",yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
SAP Adaptive Server,"The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",Relational DBMS,Spatial DBMS,"Score,28.14,Rank,#25,Overall,#17,Relational DBMS",www.sap.com/products/technology-platform/sybase-ase.html,help.sap.com/docs/SAP_ASE,"SAP, Sybase",1987.0,16.0,commercial,,no,,C and C++,"AIX,HP-UX,Linux,Solaris,Unix,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C,C++,Cobol,Java,Java,Perl,PHP,Python",Java and Transact-SQL,yes,horizontal partitioning,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Apache Spark (SQL),Apache Spark SQL is a component on top of 'Spark Core' for structured data processing,Relational DBMS,,"Score,24.63,Rank,#26,Overall,#18,Relational DBMS",spark.apache.org/sql,spark.apache.org/docs/latest/sql-programming-guide.html,Apache Software Foundation,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no,,Scala,"Linux,OS X,Windows",yes,yes,no,no,SQL-like DML and DDL statements,"JDBC,ODBC","Java,Python,R,Scala",no,no,"yes, utilizing Spark Core",none,,,no,no,yes,yes,no,no
Microsoft Azure Cosmos DB,"Globally distributed, horizontally scalable, multi-model database service","Document store,Graph DBMS,Key-value store,Wide column store",Spatial DBMS,"Score,22.84,Rank,#27,Overall,#4,Document stores,#2,Graph DBMS,#3,Key-value stores,#2,Wide column stores",azure.microsoft.com/services/cosmos-db,learn.microsoft.com/azure/cosmos-db,Microsoft,2014.0,,commercial,,yes,,,hosted,schema-free,yes,,yes,SQL-like query language,"DocumentDB API,Graph API (Gremlin),MongoDB API,RESTful HTTP API,Table API",".Net,C#,Java,JavaScript,JavaScript (Node.js),MongoDB client drivers written for various programming languages,Python",JavaScript,JavaScript,Sharding,yes,with Hadoop integration,"Bounded Staleness,Consistent Prefix,Eventual Consistency,Immediate Consistency,Session Consistency",no,Multi-item ACID transactions with snapshot isolation within a partition,yes,yes,,Access rights can be defined down to the item level
InfluxDB,"DBMS for storing time series, events and metrics",Time Series DBMS,Spatial DBMS,"Score,22.60,Rank,#28,Overall,#1,Time Series DBMS",www.influxdata.com/products/influxdb-overview,docs.influxdata.com/influxdb,,2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no,,Go,"Linux,OS X",schema-free,Numeric data and Strings,no,no,SQL-like query language,"HTTP API,JSON over UDP",".Net,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Perl,PHP,Python,R,Ruby,Rust,Scala",no,no,Sharding,selectable replication factor,no,,no,no,yes,yes,yes,simple rights management via user accounts
Apache HBase,Wide-column store based on Apache Hadoop and on concepts of BigTable,Wide column store,,"Score,22.08,Rank,#29,Overall,#3,Wide column stores",hbase.apache.org,hbase.apache.org/book.html,Apache Software Foundation,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,,Java,"Linux,Unix,Windows","schema-free, schema definition possible","options to bring your own types, AVRO",no,no,no,"Java API,RESTful HTTP API,Thrift","C,C#,C++,Groovy,Java,PHP,Python,Scala",yes,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Immediate Consistency or Eventual Consistency,no,Single row ACID (across millions of columns),yes,yes,yes,"Access Control Lists (ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC"
PostGIS,"Spatial extension of,PostgreSQL",Spatial DBMS,Relational DBMS,"Score,19.58,Rank,#30,Overall,#1,Spatial DBMS",postgis.net,postgis.net/documentation,,2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no,,C,,yes,yes,yes,yes,yes,,,user defined functions,yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,yes
ClickHouse,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",Relational DBMS,"Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS","Score,18.85,Rank,#31,Overall,#19,Relational DBMS",clickhouse.com,clickhouse.com/docs,Clickhouse Inc.,2016.0,"v25.6.3.116-stable, July 2025",Open Source,Apache 2.0,no,,C++,"FreeBSD,Linux,macOS",yes,yes,no,yes,Close to ANSI SQL (SQL/JSON + extensions),"gRPC,HTTP REST,JDBC,MySQL wire protocol,ODBC,PostgreSQL wire protocol,Proprietary protocol","C#,C++,Elixir,Go,Java,JavaScript (Node.js),Kotlin,Nim,Perl,PHP,Python,R,Ruby,Rust,Scala",yes,no,key based and custom,Asynchronous and synchronous physical replication; geographically distributed replicas; support for object storages.,no,Immediate Consistency,no,no,yes,yes,yes,"Access rights for users and roles. Column and row based policies. Quotas and resource limits. Pluggable authentication with LDAP and Kerberos. Password based, X.509 certificate, and SSH key authentication."
OpenSearch,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene","Search engine,Vector DBMS",Vector DBMS,"Score,18.48,Rank,#32,Overall,#4,Search engines,#2,Vector DBMS","github.com/opensearch-project,opensearch.org",opensearch.org/docs/latest,The OpenSearch Software Foundation,2021.0,"3.0, May 2025",Open Source,Apache Version 2.0,no,,Java,All OS with a Java VM,schema-free,yes,,yes,SQL-like query language,"Java API,RESTful HTTP/JSON API","Go,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,yes,,Eventual Consistency,no,no,yes,yes,,
Firebird,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",Relational DBMS,,"Score,17.40,Rank,#33,Overall,#20,Relational DBMS",www.firebirdsql.org,www.firebirdsql.org/en/reference-manuals,Firebird Foundation,2000.0,"5.0.1, August 2024",Open Source,Initial Developer's Public License,no,,C and C++,"AIX,FreeBSD,HP-UX,Linux,OS X,server-less,Solaris,Unix,Windows",yes,yes,,yes,yes,"ADO.NET,C/C++ API,JDBC,ODBC,OLE DB","C,C#,C++,Delphi,Java,JavaScript,Lua,Perl,PHP,Python,Ruby",PSQL,yes,none,Source-replica replication,no,,yes,ACID,yes,yes,,Users with fine-grained authorization concept
Memcached,"In-memory key-value store, originally intended for caching",Key-value store,,"Score,16.16,Rank,#34,Overall,#4,Key-value stores",www.memcached.org,github.com/memcached/memcached/wiki,Danga Interactive,2003.0,"1.6.29, June 2024",Open Source,BSD license,no,,C,"FreeBSD,Linux,OS X,Unix,Windows",schema-free,no,,no,no,Proprietary protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,Perl,PHP,Python,Ruby",no,no,none,none,no,,no,no,yes,no,,yes
Informix,"A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",Relational DBMS,"Document store,Spatial DBMS,Time Series DBMS","Score,14.77,Rank,#35,Overall,#21,Relational DBMS",www.ibm.com/products/informix,"informix.hcldoc.com,www.ibm.com/support/knowledgecenter/SSGU8G/welcomeIfxServers.html","IBM, HCL Technologies",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,,"C, C++ and Java","AIX,HP-UX,Linux,macOS,Solaris,Windows",yes,yes,,yes,yes,"JDBC,JSON API,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API",".Net,C,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,"Users with fine-grained authentication, authorization, and auditing controls"
Amazon Redshift,Large scale data warehouse service for use with business intelligence tools,Relational DBMS,,"Score,14.41,Rank,#36,Overall,#22,Relational DBMS",aws.amazon.com/redshift,docs.aws.amazon.com/redshift,"Amazon (based on,PostgreSQL,)",2012.0,,commercial,,yes,,C,hosted,yes,yes,no,restricted,yes,"JDBC,ODBC",All languages supporting JDBC/ODBC,user defined functions,no,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Firebase Realtime Database,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",Document store,,"Score,14.39,Rank,#37,Overall,#5,Document stores",firebase.google.com/products/realtime-database,firebase.google.com/docs/database,Google,2012.0,,commercial,,yes,,,hosted,schema-free,yes,no,yes,no,"Android,iOS,JavaScript API,RESTful HTTP API","Java,JavaScript,Objective-C",limited functionality with using 'rules',Callbacks are triggered when data changes,,,no,"Eventual Consistency,Immediate Consistency",no,yes,yes,yes,,"yes, based on authentication and database rules"
Microsoft Azure Synapse Analytics,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",Relational DBMS,,"Score,14.15,Rank,#38,Overall,#23,Relational DBMS",azure.microsoft.com/services/synapse-analytics,docs.microsoft.com/azure/synapse-analytics,Microsoft,2016.0,,commercial,,yes,,C++,hosted,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","C#,Java,PHP",Transact SQL,no,"Sharding, horizontal partitioning",yes,no,Immediate Consistency,no,ACID,yes,yes,,yes
Apache Impala,Analytic DBMS for Hadoop,Relational DBMS,Document store,"Score,13.36,Rank,#39,Overall,#24,Relational DBMS",impala.apache.org,impala.apache.org/impala-docs.html,Apache Software Foundation,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,,C++,Linux,yes,yes,no,yes,SQL-like DML and DDL statements,"JDBC,ODBC",All languages supporting JDBC/ODBC,yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,no,"Access rights for users, groups and roles"
