DBMS,Rank_Mar-2025,Rank_Feb-2025,Rank_Mar-2024,Database Model,Score_Mar-2025,Score_Feb-2025,Score_Mar-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Firebird,33.0,32.0,31.0,Relational,16.82,-0.46,-5.63,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.1, August 2024",Open Source,Initial Developer's Public License,no
Memcached,34.0,34.0,32.0,Key-value,15.78,-0.91,-5.03,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.29, June 2024",Open Source,BSD license,no
Informix,35.0,36.0,35.0,"Relational, Multi-model",15.49,+0.02,-3.98,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Couchbase,36.0,35.0,36.0,Multi-model,15.05,-0.58,-4.11,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.6, March 2024; Mobile: 3.3, August 2024; Couchbase Capella (DBaaS), September 2024",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no
Amazon Redshift,37.0,38.0,33.0,Relational,14.57,+0.45,-6.06,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Microsoft Azure Synapse Analytics,38.0,37.0,30.0,Relational,14.19,-0.22,-9.76,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Firebase Realtime Database,39.0,39.0,38.0,Document,13.49,+0.17,-1.58,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Apache Impala,40.0,41.0,39.0,"Relational, Multi-model",11.58,+0.29,-3.47,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Apache Flink,41.0,40.0,41.0,Relational,11.31,-0.06,-2.10,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.20.0, August 2024",Open Source,,no
Vertica,42.0,42.0,44.0,"Relational, Multi-model",10.13,+0.55,-1.63,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
dBASE,43.0,44.0,43.0,Relational,8.28,+0.22,-3.97,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
Amazon Aurora,44.0,43.0,49.0,"Relational, Multi-model",7.99,-0.29,-1.06,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",Amazon,"Fully managed relational database service built for the cloud providing unparalleled high performance and availability at global scale for MySQL, PostgreSQL, and DSQL",2015.0,"Aurora DSQL, November 2024 (preview), PostgreSQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraPostgreSQLReleaseNotes/AuroraPostgreSQL.Updates.html,, MySQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraMySQLReleaseNotes/AuroraMySQL.release-calendars.html",commercial,,yes
Greenplum,45.0,46.0,48.0,"Relational, Multi-model",7.83,+0.30,-1.37,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",commercial,Apache 2.0,no
CouchDB,46.0,45.0,45.0,"Document, Multi-model",7.34,-0.47,-4.39,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no
Google Cloud Firestore,47.0,48.0,47.0,Document,7.11,+0.20,-2.86,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Kdb,48.0,50.0,53.0,Multi-model,7.1,+0.31,-0.59,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
etcd,49.0,47.0,55.0,Key-value,7.08,+0.02,-0.58,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
H2,50.0,49.0,50.0,"Relational, Multi-model",6.94,+0.11,-1.20,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
DuckDB,51.0,54.0,81.0,Relational,6.71,+0.36,+2.25,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"1.0.0, June 2024",Open Source,MIT License,no
Realm,52.0,51.0,52.0,Document,6.62,-0.12,-1.08,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Netezza,53.0,53.0,46.0,Relational,6.45,-0.05,-4.75,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
Prometheus,54.0,52.0,51.0,Time Series,6.38,-0.31,-1.62,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Presto,55.0,55.0,42.0,Relational,6.12,-0.19,-6.93,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
Sphinx,56.0,56.0,61.0,Search engine,5.81,-0.07,-0.25,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
Oracle Essbase,57.0,58.0,58.0,Relational,5.49,-0.22,-1.18,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
Hazelcast,58.0,59.0,54.0,"Key-value, Multi-model",5.47,-0.04,-2.19,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no
Algolia,59.0,57.0,64.0,Search engine,5.47,-0.24,-0.47,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Aerospike,60.0,61.0,59.0,Multi-model,5.22,+0.12,-1.30,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"7.1, May 2024",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Microsoft Azure AI Search,61.0,60.0,66.0,"Search engine, Multi-model",5.16,-0.11,-0.56,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
Trino,62.0,62.0,73.0,"Relational, Multi-model",5.13,+0.07,-0.09,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Graphite,63.0,63.0,79.0,Time Series,4.57,+0.20,-0.27,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
SingleStore,64.0,66.0,62.0,"Relational, Multi-model",4.52,+0.33,-1.51,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no
CockroachDB,65.0,68.0,60.0,Relational,4.4,+0.39,-1.99,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"24.1.0, May 2024",Open Source,"Apache 2.0, commercial license available",no
Ehcache,66.0,64.0,69.0,Key-value,4.22,-0.10,-1.33,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Apache Jackrabbit,67.0,69.0,68.0,Content,4.2,+0.19,-1.39,https://db-engines.com/en/system/Apache+Jackrabbit,,Apache Software Foundation,,2006.0,"2.20.6, July 2022",Open Source,,no
MarkLogic,68.0,67.0,56.0,Multi-model,4.0,-0.17,-3.08,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Datastax Enterprise,69.0,65.0,57.0,"Wide column, Multi-model",3.89,-0.33,-3.18,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Google Cloud Datastore,70.0,71.0,78.0,Document,3.78,+0.09,-1.09,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
TiDB,71.0,70.0,75.0,"Relational, Multi-model",3.74,-0.11,-1.39,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.2.0, July 2024",Open Source,Apache 2.0,no
ScyllaDB,72.0,72.0,67.0,"Wide column, Multi-model",3.61,-0.04,-2.08,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 6.2.0, October 2024",Open Source,"Open Source (AGPL), commercial license available",no
TimescaleDB,73.0,73.0,72.0,"Time Series, Multi-model",3.48,-0.14,-1.84,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.15.0, May 2024",Open Source,Apache 2.0,no
OpenEdge,74.0,76.0,94.0,Relational,3.48,-0.03,-0.05,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
Interbase,75.0,74.0,70.0,Relational,3.44,-0.12,-2.07,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Apache Derby,76.0,75.0,63.0,Relational,3.42,-0.11,-2.54,https://db-engines.com/en/system/Apache+Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no
Riak KV,77.0,77.0,76.0,Key-value,3.39,+0.06,-1.56,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
Oracle NoSQL,78.0,79.0,101.0,Multi-model,3.35,+0.06,+0.09,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"24.4, December 2024",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
Ingres,79.0,78.0,74.0,Relational,3.32,-0.01,-1.84,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"12.0, July 2024",commercial,,no
Virtuoso,80.0,80.0,82.0,Multi-model,3.2,+0.06,-1.19,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
Pinecone,81.0,84.0,98.0,Vector,3.17,+0.22,-0.16,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
RocksDB,82.0,82.0,80.0,Key-value,3.15,+0.09,-1.37,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"9.4.0, June 2024",Open Source,BSD,no
SAP SQL Anywhere,83.0,88.0,77.0,Relational,3.12,+0.26,-1.76,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
QuestDB,84.0,81.0,115.0,"Time Series, Multi-model",3.1,+0.00,+0.41,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
HyperSQL,85.0,85.0,83.0,Relational,3.03,+0.11,-1.27,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no
Apache Ignite,86.0,87.0,86.0,Multi-model,2.99,+0.11,-1.04,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,"2.16.0, December 2023",Open Source,Apache 2.0,no
Microsoft Azure Data Explorer,87.0,83.0,65.0,"Relational, Multi-model",2.94,-0.04,-2.88,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
ArangoDB,88.0,86.0,84.0,Multi-model,2.87,-0.04,-1.35,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
Apache Druid,89.0,90.0,99.0,Multi-model,2.79,-0.07,-0.54,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"30.0.0, June 2024",Open Source,Apache license v2,no
Adabas,90.0,89.0,87.0,Multivalue,2.78,-0.08,-1.25,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Milvus,91.0,92.0,150.0,Vector,2.77,+0.00,+1.07,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.4.4, May 2024",Open Source,Apache Version 2.0,no
OrientDB,92.0,94.0,96.0,Multi-model,2.72,-0.01,-0.66,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no
