DBMS,Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Microsoft Azure Cosmos DB,27.0,27.0,26.0,Multi-model,36.51,-1.45,-3.45,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
PostGIS,28.0,29.0,27.0,"Spatial DBMS, Multi-model",29.81,+0.65,-1.21,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.3.2, November 2022",Open Source,GPL v2.0,no
InfluxDB,29.0,28.0,29.0,"Time Series, Multi-model",29.44,+0.07,+0.10,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.5.1, November 2022",Open Source,MIT-License; commercial enterprise version available,no
Couchbase,30.0,30.0,28.0,"Document, Multi-model",24.86,-0.44,-5.21,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS","Couchbase, Inc.","A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",2011.0,"Server: 7.0, July 2021; Mobile: 3, February 2022; Couchbase Capella, October 2021",Open Source,Apache version 2; Commercial licenses also available,no
Memcached,31.0,31.0,31.0,Key-value,23.17,-0.58,-2.60,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.18, January 2023",Open Source,BSD license,no
Firebird,32.0,33.0,30.0,Relational,22.6,-0.28,-3.76,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"4.0.2, August 2022",Open Source,Initial Developer's Public License,no
Amazon Redshift,33.0,32.0,32.0,Relational,22.03,-1.23,-3.38,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Microsoft Azure Synapse Analytics,34.0,34.0,35.0,Relational,21.78,-0.14,+1.99,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Informix,35.0,35.0,34.0,"Relational, Multi-model",21.7,+0.24,-0.61,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Spark SQL,36.0,36.0,33.0,Relational,19.74,-0.32,-3.54,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.3.0 ( 2.13), June 2022",Open Source,Apache 2.0,no
Impala,37.0,39.0,39.0,"Relational, Multi-model",18.7,+0.71,-0.22,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store",Cloudera,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Firebase Realtime Database,38.0,37.0,38.0,Document,18.49,-0.27,-0.66,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Vertica,39.0,38.0,37.0,"Relational, Multi-model",17.41,-0.59,-1.87,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
Netezza,40.0,40.0,36.0,Relational,16.58,+0.31,-2.93,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
dBASE,41.0,42.0,41.0,Relational,14.59,+0.51,-0.21,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
CouchDB,42.0,41.0,40.0,"Document, Multi-model",14.45,-0.44,-3.01,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.0, January 2023",Open Source,Apache version 2,no
Presto,43.0,43.0,42.0,Relational,14.12,+0.42,-0.16,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
ClickHouse,44.0,44.0,44.0,"Relational, Multi-model",13.99,+0.41,+1.16,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"Column-oriented,Relational DBMS,powering Yandex",2016.0,"v23.1.3.5-stable, February 2023",Open Source,Apache 2.0,no
Google Cloud Firestore,45.0,46.0,53.0,Document,11.51,+0.41,+2.45,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Greenplum,46.0,45.0,43.0,"Relational, Multi-model",10.94,-0.27,-2.59,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"6.7.1, April 2020",Open Source,Apache 2.0,no
OpenSearch,47.0,48.0,,Search engine,10.49,+0.05,,https://db-engines.com/en/system/OpenSearch,,Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no
Amazon Aurora,48.0,47.0,45.0,"Relational, Multi-model",10.35,-0.53,-1.88,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
Hazelcast,49.0,49.0,49.0,"Key-value, Multi-model",9.11,-0.23,-0.39,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.2.2, February 2023",Open Source,Apache Version 2; commercial licenses available,no
Oracle Essbase,50.0,51.0,55.0,Relational,8.88,+0.24,+0.48,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
MarkLogic,51.0,50.0,50.0,Multi-model,8.84,-0.01,-0.61,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
etcd,52.0,52.0,46.0,Key-value,8.51,+0.01,-3.19,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
H2,53.0,54.0,48.0,"Relational, Multi-model",8.46,+0.16,-1.65,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.1.210, January 2022",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
Realm,54.0,53.0,51.0,Document,8.24,-0.09,-1.17,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Datastax Enterprise,55.0,55.0,47.0,"Wide column, Multi-model",8.2,+0.51,-2.54,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Kdb,56.0,60.0,52.0,"Time Series, Multi-model",7.31,+0.41,-1.80,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
CockroachDB,57.0,57.0,58.0,Relational,7.27,+0.08,-0.20,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"21.1.2, June 2021",Open Source,"Apache 2.0, commercial license available",no
Microsoft Azure Search,58.0,61.0,56.0,Search engine,7.13,+0.35,-0.77,https://db-engines.com/en/system/Microsoft+Azure+Search,,Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
Prometheus,59.0,62.0,66.0,Time Series,7.06,+0.30,+0.67,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Algolia,60.0,58.0,54.0,Search engine,7.03,+0.02,-1.90,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Google Cloud Datastore,61.0,64.0,75.0,Document,6.89,+0.22,+1.64,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
SingleStore,62.0,56.0,59.0,"Relational, Multi-model",6.78,-0.57,-0.55,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,,commercial,free developer edition available,no
Graphite,63.0,63.0,72.0,Time Series,6.75,+0.04,+1.16,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
Sphinx,64.0,59.0,57.0,Search engine,6.63,-0.30,-1.00,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,,Open Source,"GPL version 2, commercial licence available",no
Aerospike,65.0,66.0,71.0,Multi-model,6.56,+0.09,+0.95,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,,Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Microsoft Azure Data Explorer,66.0,65.0,61.0,"Relational, Multi-model",6.47,-0.07,-0.32,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,,commercial,,yes
Interbase,67.0,70.0,64.0,Relational,6.23,+0.25,-0.23,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,,commercial,,no
Derby,68.0,68.0,76.0,Relational,6.14,+0.08,+0.93,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,,Open Source,Apache version 2,no
Virtuoso,69.0,73.0,74.0,Multi-model,6.11,+0.23,+0.72,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,,Open Source,"GPLv2, extended commercial license available",no
Ehcache,70.0,69.0,67.0,Key-value,6.04,+0.04,-0.34,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,,Open Source,Apache Version 2; commercial licenses available,no
Jackrabbit,71.0,72.0,62.0,Content,6.03,+0.15,-0.51,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
Ingres,72.0,67.0,65.0,Relational,5.94,-0.18,-0.50,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,,commercial,,no
Microsoft Azure Table Storage,73.0,74.0,70.0,Wide column,5.93,+0.11,+0.28,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
Google Cloud Bigtable,74.0,76.0,84.0,Multi-model,5.92,+0.45,+1.75,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
Accumulo,75.0,75.0,86.0,Wide column,5.75,+0.05,+1.82,https://db-engines.com/en/system/Accumulo,,,,2008.0,,Open Source,,no
SAP SQL Anywhere,76.0,78.0,68.0,Relational,5.66,+0.40,-0.10,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,,commercial,,no
ScyllaDB,77.0,77.0,90.0,"Wide column, Multi-model",5.63,+0.30,+1.75,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,,Open Source,"Open Source (AGPL), commercial license available",no
Ignite,78.0,71.0,63.0,Multi-model,5.5,-0.40,-1.00,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,,Open Source,Apache 2.0,no
ArangoDB,79.0,80.0,73.0,Multi-model,5.29,+0.22,-0.11,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,,Open Source,Apache Version 2; Commercial license (Enterprise) available,no
Riak KV,80.0,79.0,60.0,Key-value,5.14,-0.10,-1.78,https://db-engines.com/en/system/Riak+KV,,Basho Technologies,"Distributed, fault tolerant key-value store",2009.0,,Open Source,"Apache version 2, commercial enterprise edition",no
Adabas,81.0,82.0,78.0,Multivalue,5.13,+0.35,+0.08,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Apache Jena - TDB,82.0,87.0,108.0,RDF,5.09,+0.60,+2.19,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,,Open Source,"Apache License, Version 2.0",no
HyperSQL,83.0,81.0,69.0,Relational,4.92,-0.08,-0.83,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,,Open Source,based on BSD license,no
Trino,84.0,84.0,109.0,"Relational, Multi-model",4.8,+0.24,+1.92,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
OrientDB,85.0,89.0,79.0,Multi-model,4.54,+0.06,-0.49,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,,Open Source,Apache version 2,no
"UniData,UniVerse",86.0,93.0,88.0,Multivalue,4.54,+0.22,+0.65,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
GemFire,87.0,92.0,,Key-value,4.52,+0.17,,https://db-engines.com/en/system/GemFire,,"Pivotal, VMware","Ultra-high speed, in-memory data and compute grid",,,commercial,,no
TimescaleDB,88.0,85.0,82.0,"Time Series, Multi-model",4.51,-0.03,+0.13,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,,Open Source,Apache 2.0,no
SAP IQ,89.0,83.0,77.0,Relational,4.51,-0.08,-0.61,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,,commercial,,no
OpenEdge,90.0,94.0,81.0,Relational,4.49,+0.21,-0.18,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,,commercial,,no
RocksDB,91.0,88.0,89.0,Key-value,4.47,-0.02,+0.58,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,,Open Source,BSD,no
Google Cloud Spanner,92.0,91.0,92.0,Relational,4.38,-0.02,+0.69,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
YugabyteDB,93.0,86.0,117.0,"Relational, Multi-model",4.38,-0.13,+2.04,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,,Open Source,Apache 2.0,no
IBM Cloudant,94.0,90.0,85.0,Document,4.35,-0.06,+0.41,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
RavenDB,95.0,95.0,91.0,"Document, Multi-model",4.21,-0.04,+0.39,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,,Open Source,"AGPL version 3, commercial license available",no
RethinkDB,96.0,98.0,102.0,"Document, Multi-model",3.85,+0.27,+0.78,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,,Open Source,Apache Version 2,no
Infinispan,97.0,99.0,100.0,Key-value,3.76,+0.19,+0.52,https://db-engines.com/en/system/Infinispan,,,,2009.0,,Open Source,Apache Version 2,no
Oracle NoSQL,98.0,96.0,80.0,Multi-model,3.7,-0.27,-1.15,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,,Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
LevelDB,99.0,97.0,99.0,Key-value,3.55,-0.10,+0.29,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,,Open Source,BSD,no
